"POSTO","GRUPO","CHEFE","DIPLOMATAS","OCS","ACS","no_pais"
"C Chuy","B",1,0,1,3,NA
"C Ciudad Guayana","D",0,0,0,0,NA
"C Cobija","D",1,0,1,3,NA
"C Guayaramerín","D",1,0,1,2,NA
"C Iquitos","D",1,0,2,1,NA
"C Paso de los Libres","B",1,0,1,1,NA
"C Pedro Juan Caballero","D",1,0,1,3,NA
"C Puerto Iguazú","B",1,0,2,1,NA
"C Puerto Quijarro","D",1,0,1,2,NA
"C Saint Georges de l'Oyapock","D",1,0,1,1,NA
"C Salto del Guairá","C",1,0,1,3,NA
"CG Amsterdã","A",1,2,3,1,NA
"CG Assunção","B",1,2,3,3,NA
"CG Atlanta","A",1,2,6,2,NA
"CG Barcelona","A",1,3,6,5,NA
"CG Boston","A",1,4,8,4,NA
"CG Bruxelas","A",1,2,3,3,NA
"CG Buenos Aires","A",1,3,5,5,NA
"CG Caiena","D",1,1,2,2,NA
"CG Cantão","C",1,3,4,2,NA
"CG Chicago","A",1,3,4,3,NA
"CG Cidade do Cabo","C",1,2,3,1,NA
"CG Ciudad del Este","C",1,3,5,6,NA
"CG Cochabamba","C",1,1,2,4,NA
"CG Córdoba","B",1,1,2,2,NA
"CG Faro","A",1,1,5,2,NA
"CG Frankfurt","A",1,2,4,2,NA
"CG Genebra","A",1,2,3,3,NA
"CG Hamamatsu","C",1,2,2,2,NA
"CG Hartford","A",1,2,5,3,NA
"CG Hong Kong","C",1,3,2,2,NA
"CG Houston","A",1,2,6,3,NA
"CG Istambul","C",1,2,2,2,NA
"CG Lagos","D",1,1,2,2,NA
"CG Lisboa","A",1,5,9,5,NA
"CG Londres","A",1,4,10,4,NA
"CG Los Angeles","A",1,4,6,4,NA
"CG Madri","A",1,2,9,5,NA
"CG Mendoza","B",1,1,2,2,NA
"CG Miami","A",1,5,10,7,NA
"CG Milão","A",1,3,3,3,NA
"CG Montevidéu","B",1,1,3,3,NA
"CG Montreal","B",1,2,5,2,NA
"CG Mumbai","D",1,2,2,2,NA
"CG Munique","A",1,2,4,1,NA
"CG Nagoia","C",1,2,4,3,NA
"CG Nova York","A",1,6,9,7,NA
"CG Paris","A",1,4,9,4,NA
"CG Porto","A",1,3,5,4,NA
"CG Rivera","B",1,1,2,2,NA
"CG Roma","A",1,3,4,3,NA
"CG Santa Cruz de la Sierra","C",1,2,6,6,NA
"CG Santiago","B",1,2,2,3,NA
"CG São Francisco","A",1,3,6,3,NA
"CG Sydney","B",1,3,4,2,NA
"CG Tóquio","B",1,2,7,4,NA
"CG Toronto","B",1,2,3,2,NA
"CG Vancouver","B",1,3,5,1,NA
"CG Washington","A",1,2,8,4,NA
"CG Xangai","C",1,4,4,3,NA
"CG Zurique","A",1,2,4,2,NA
"VC Artigas","B",1,0,1,1,NA
"VC Concepción","B",1,0,1,1,NA
"VC Encarnación","B",1,0,1,1,NA
"VC Lethem","D",1,0,1,1,NA
"VC Letícia","D",1,0,1,1,NA
"VC Puerto Ayacucho","D",0,0,0,0,NA
"VC Río Branco","B",1,0,1,1,NA
"VC Santa Elena de Uairén","D",0,0,0,0,NA
